dwell_family,target_censoring,mae_protocol_cat,mae_age_naive_cat,mae_diff_mean,mae_diff_ci,protocol_advantage_pct,no_advantage_pass
weibull,0.1,0.0035608172959222333,0.024929969052953006,-0.02136915175703077,0.0010111303245378903,85.71671995116077,False
weibull,0.3,0.012554351698295465,0.0700459104054581,-0.057491558707162625,0.0030092437615993274,82.07696691266474,False
weibull,0.5,0.02459961075951654,0.09652872499173676,-0.0719291142322202,0.004967727990264224,74.51576122897887,False
exponential,0.1,0.00499418200530806,0.004815880757394492,0.00017830124791356708,0.00016423024302635337,-3.7023601059847056,True
exponential,0.3,0.015403885694598456,0.011275098421204173,0.004128787273394285,0.0011860366571058688,-36.61863621189864,True
exponential,0.5,0.02762840834421411,0.01795396113529325,0.009674447208920854,0.002573225172035142,-53.88475075788807,True
